District_Name,UnitName,year,firs
BAGALKOT,MAHALINGAPUR PS,2019,44.53
BAGALKOT,MAHALINGAPUR PS,2020,48.99
BAGALKOT,MAHALINGAPUR PS,2021,53.44
BAGALKOT,MAHALINGAPUR PS,2022,57.89
BAGALKOT,MAHALINGAPUR PS,2023,62.35
BAGALKOT,MAHALINGAPUR PS,2024,66.8
BAGALKOT,SAVALGI PS,2019,46.67
BAGALKOT,SAVALGI PS,2020,51.33
BAGALKOT,SAVALGI PS,2021,56.0
BAGALKOT,SAVALGI PS,2022,60.67
BAGALKOT,SAVALGI PS,2023,65.33
BAGALKOT,SAVALGI PS,2024,70.0
BAGALKOT,KALADAGI PS,2019,50.53
BAGALKOT,KALADAGI PS,2020,55.59
BAGALKOT,KALADAGI PS,2021,60.64
BAGALKOT,KALADAGI PS,2022,65.69
BAGALKOT,KALADAGI PS,2023,70.75
BAGALKOT,KALADAGI PS,2024,75.8
BAGALKOT,BAGALKOT TOWN PS,2016,52.89
BAGALKOT,BAGALKOT TOWN PS,2017,56.19
BAGALKOT,BAGALKOT TOWN PS,2018,59.5
BAGALKOT,BAGALKOT TOWN PS,2019,62.81
BAGALKOT,BAGALKOT TOWN PS,2020,66.11
BAGALKOT,BAGALKOT TOWN PS,2021,69.42
BAGALKOT,BAGALKOT TOWN PS,2022,72.72
BAGALKOT,BAGALKOT TOWN PS,2023,76.03
BAGALKOT,BAGALKOT TOWN PS,2024,79.33
BAGALKOT,NAVANAGARA PS,2019,53.07
BAGALKOT,NAVANAGARA PS,2020,58.37
BAGALKOT,NAVANAGARA PS,2021,63.68
BAGALKOT,NAVANAGARA PS,2022,68.99
BAGALKOT,NAVANAGARA PS,2023,74.29
BAGALKOT,NAVANAGARA PS,2024,79.6
BAGALKOT,BANAHATTI PS,2019,55.07
BAGALKOT,BANAHATTI PS,2020,60.57
BAGALKOT,BANAHATTI PS,2021,66.08
BAGALKOT,BANAHATTI PS,2022,71.59
BAGALKOT,BANAHATTI PS,2023,77.09
BAGALKOT,BANAHATTI PS,2024,82.6
BAGALKOT,LOKAPUR PS,2019,55.07
BAGALKOT,LOKAPUR PS,2020,60.57
BAGALKOT,LOKAPUR PS,2021,66.08
BAGALKOT,LOKAPUR PS,2022,71.59
BAGALKOT,LOKAPUR PS,2023,77.09
BAGALKOT,LOKAPUR PS,2024,82.6
BAGALKOT,KERUR PS,2019,64.0
BAGALKOT,KERUR PS,2020,70.4
BAGALKOT,KERUR PS,2021,76.8
BAGALKOT,KERUR PS,2022,83.2
BAGALKOT,KERUR PS,2023,89.6
BAGALKOT,KERUR PS,2024,96.0
BAGALKOT,HUNGUNDA PS,2019,67.36
BAGALKOT,HUNGUNDA PS,2020,74.1
BAGALKOT,HUNGUNDA PS,2021,80.83
BAGALKOT,HUNGUNDA PS,2022,87.57
BAGALKOT,HUNGUNDA PS,2023,94.3
BAGALKOT,HUNGUNDA PS,2024,101.04
BAGALKOT,JAMAKHANDI RURAL PS,2019,70.8
BAGALKOT,JAMAKHANDI RURAL PS,2020,77.88
BAGALKOT,JAMAKHANDI RURAL PS,2021,84.96
BAGALKOT,JAMAKHANDI RURAL PS,2022,92.04
BAGALKOT,JAMAKHANDI RURAL PS,2023,99.12
BAGALKOT,JAMAKHANDI RURAL PS,2024,106.2
BAGALKOT,AMENGAD PS,2019,72.27
BAGALKOT,AMENGAD PS,2020,79.49
BAGALKOT,AMENGAD PS,2021,86.72
BAGALKOT,AMENGAD PS,2022,93.95
BAGALKOT,AMENGAD PS,2023,101.17
BAGALKOT,AMENGAD PS,2024,108.4
BAGALKOT,BILAGI PS,2019,76.67
BAGALKOT,BILAGI PS,2020,84.33
BAGALKOT,BILAGI PS,2021,92.0
BAGALKOT,BILAGI PS,2022,99.67
BAGALKOT,BILAGI PS,2023,107.33
BAGALKOT,BILAGI PS,2024,115.0
BAGALKOT,BADAMI PS,2019,83.87
BAGALKOT,BADAMI PS,2020,92.25
BAGALKOT,BADAMI PS,2021,100.64
BAGALKOT,BADAMI PS,2022,109.03
BAGALKOT,BADAMI PS,2023,117.41
BAGALKOT,BADAMI PS,2024,125.8
BAGALKOT,BAGALKOT RURAL PS,2019,88.8
BAGALKOT,BAGALKOT RURAL PS,2020,97.68
BAGALKOT,BAGALKOT RURAL PS,2021,106.56
BAGALKOT,BAGALKOT RURAL PS,2022,115.44
BAGALKOT,BAGALKOT RURAL PS,2023,124.32
BAGALKOT,BAGALKOT RURAL PS,2024,133.2
BAGALKOT,MUDHOL PS,2019,149.2
BAGALKOT,MUDHOL PS,2020,164.12
BAGALKOT,MUDHOL PS,2021,179.04
BAGALKOT,MUDHOL PS,2022,193.96
BAGALKOT,MUDHOL PS,2023,208.88
BAGALKOT,MUDHOL PS,2024,223.8
BALLARI,GADIGANUR PS,2020,3.2
BALLARI,GADIGANUR PS,2021,4.8
BALLARI,BALLARI CEN CRIME PS,2019,8.48
BALLARI,BALLARI CEN CRIME PS,2020,9.33
BALLARI,BALLARI CEN CRIME PS,2021,10.18
BALLARI,BALLARI CEN CRIME PS,2022,11.02
BALLARI,BALLARI CEN CRIME PS,2023,11.87
BALLARI,BALLARI CEN CRIME PS,2024,12.72
BALLARI,P.D. HALLI PS,2020,13.8
BALLARI,P.D. HALLI PS,2021,15.53
BALLARI,P.D. HALLI PS,2022,17.25
BALLARI,P.D. HALLI PS,2023,18.98
BALLARI,P.D. HALLI PS,2024,20.7
BALLARI,GANDHINAGAR PS,2017,15.36
BALLARI,GANDHINAGAR PS,2018,16.46
BALLARI,GANDHINAGAR PS,2019,17.55
BALLARI,GANDHINAGAR PS,2020,18.65
BALLARI,GANDHINAGAR PS,2021,19.75
BALLARI,GANDHINAGAR PS,2022,20.85
BALLARI,GANDHINAGAR PS,2023,21.94
BALLARI,GANDHINAGAR PS,2024,23.04
BALLARI,HATCHOLLI PS,2021,16.8
BALLARI,HATCHOLLI PS,2022,19.6
BALLARI,HATCHOLLI PS,2023,22.4
BALLARI,HATCHOLLI PS,2024,25.2
BALLARI,BELLARY TRAFFIC PS,2020,18.4
BALLARI,BELLARY TRAFFIC PS,2021,20.7
BALLARI,BELLARY TRAFFIC PS,2022,23.0
BALLARI,BELLARY TRAFFIC PS,2023,25.3
BALLARI,BELLARY TRAFFIC PS,2024,27.6
BALLARI,COWLBAZAR PS,2018,19.09
BALLARI,COWLBAZAR PS,2019,20.68
BALLARI,COWLBAZAR PS,2020,22.27
BALLARI,COWLBAZAR PS,2021,23.86
BALLARI,COWLBAZAR PS,2022,25.45
BALLARI,COWLBAZAR PS,2023,27.04
BALLARI,COWLBAZAR PS,2024,28.63
BALLARI,BALLARI WOMEN PS,2019,19.36
BALLARI,BALLARI WOMEN PS,2020,21.3
BALLARI,BALLARI WOMEN PS,2021,23.23
BALLARI,BALLARI WOMEN PS,2022,25.17
BALLARI,BALLARI WOMEN PS,2023,27.1
BALLARI,BALLARI WOMEN PS,2024,29.04
BALLARI,CHORANURU PS,2022,19.73
BALLARI,CHORANURU PS,2023,24.67
BALLARI,CHORANURU PS,2024,29.6
BALLARI,SANDUR PS,2019,20.0
BALLARI,SANDUR PS,2020,22.0
BALLARI,SANDUR PS,2021,24.0
BALLARI,SANDUR PS,2022,26.0
BALLARI,SANDUR PS,2023,28.0
BALLARI,SANDUR PS,2024,30.0
BALLARI,THORANAGAL PS,2017,21.44
BALLARI,THORANAGAL PS,2018,22.97
BALLARI,THORANAGAL PS,2019,24.5
BALLARI,THORANAGAL PS,2020,26.03
BALLARI,THORANAGAL PS,2021,27.57
BALLARI,THORANAGAL PS,2022,29.1
BALLARI,THORANAGAL PS,2023,30.63
BALLARI,THORANAGAL PS,2024,32.16
BALLARI,KUDUTHINI PS,2020,22.4
BALLARI,KUDUTHINI PS,2021,25.2
BALLARI,KUDUTHINI PS,2022,28.0
BALLARI,KUDUTHINI PS,2023,30.8
BALLARI,KUDUTHINI PS,2024,33.6
BALLARI,TEKKALKOTA PS,2021,26.13
BALLARI,TEKKALKOTA PS,2022,30.49
BALLARI,TEKKALKOTA PS,2023,34.84
BALLARI,TEKKALKOTA PS,2024,39.2
BALLARI,APMC YARD PS,2023,26.8
BALLARI,APMC YARD PS,2024,40.2
BALLARI,KURUGOD PS,2019,27.2
BALLARI,KURUGOD PS,2020,29.92
BALLARI,KURUGOD PS,2021,32.64
BALLARI,KURUGOD PS,2022,35.36
BALLARI,KURUGOD PS,2023,38.08
BALLARI,KURUGOD PS,2024,40.8
BALLARI,KAMPLI PS,2020,31.2
BALLARI,KAMPLI PS,2021,35.1
BALLARI,KAMPLI PS,2022,39.0
BALLARI,KAMPLI PS,2023,42.9
BALLARI,KAMPLI PS,2024,46.8
BALLARI,SIRIGERI PS,2019,42.13
BALLARI,SIRIGERI PS,2020,46.35
BALLARI,SIRIGERI PS,2021,50.56
BALLARI,SIRIGERI PS,2022,54.77
BALLARI,SIRIGERI PS,2023,58.99
BALLARI,SIRIGERI PS,2024,63.2
BALLARI,SIRUGUPPA PS,2021,45.4
BALLARI,SIRUGUPPA PS,2022,52.97
BALLARI,SIRUGUPPA PS,2023,60.53
BALLARI,SIRUGUPPA PS,2024,68.1
BALLARI,BRUCEPET PS,2020,47.73
BALLARI,BRUCEPET PS,2021,53.7
BALLARI,BRUCEPET PS,2022,59.67
BALLARI,BRUCEPET PS,2023,65.63
BALLARI,BRUCEPET PS,2024,71.6
BALLARI,MOKA PS,2019,51.2
BALLARI,MOKA PS,2020,56.32
BALLARI,MOKA PS,2021,61.44
BALLARI,MOKA PS,2022,66.56
BALLARI,MOKA PS,2023,71.68
BALLARI,MOKA PS,2024,76.8
BALLARI,BELLARY RURAL PS,2020,58.6
BALLARI,BELLARY RURAL PS,2021,65.92
BALLARI,BELLARY RURAL PS,2022,73.25
BALLARI,BELLARY RURAL PS,2023,80.58
BALLARI,BELLARY RURAL PS,2024,87.9
BELAGAVI CITY,BELAGAVI CITY CEN CRIME PS,2018,31.54
BELAGAVI CITY,BELAGAVI CITY CEN CRIME PS,2019,34.17
BELAGAVI CITY,BELAGAVI CITY CEN CRIME PS,2020,36.8
BELAGAVI CITY,BELAGAVI CITY CEN CRIME PS,2021,39.43
BELAGAVI CITY,BELAGAVI CITY CEN CRIME PS,2022,42.06
BELAGAVI CITY,BELAGAVI CITY CEN CRIME PS,2023,44.69
BELAGAVI CITY,BELAGAVI CITY CEN CRIME PS,2024,47.31
BELAGAVI CITY,KHADEBAZAR PS,2017,37.14
BELAGAVI CITY,KHADEBAZAR PS,2018,39.8
BELAGAVI CITY,KHADEBAZAR PS,2019,42.45
BELAGAVI CITY,KHADEBAZAR PS,2020,45.1
BELAGAVI CITY,KHADEBAZAR PS,2021,47.76
BELAGAVI CITY,KHADEBAZAR PS,2022,50.41
BELAGAVI CITY,KHADEBAZAR PS,2023,53.06
BELAGAVI CITY,KHADEBAZAR PS,2024,55.71
BELAGAVI CITY,UDYAMBAG PS,2019,38.53
BELAGAVI CITY,UDYAMBAG PS,2020,42.39
BELAGAVI CITY,UDYAMBAG PS,2021,46.24
BELAGAVI CITY,UDYAMBAG PS,2022,50.09
BELAGAVI CITY,UDYAMBAG PS,2023,53.95
BELAGAVI CITY,UDYAMBAG PS,2024,57.8
BELAGAVI CITY,BELAGAVI CITY WOMEN PS,2019,45.07
BELAGAVI CITY,BELAGAVI CITY WOMEN PS,2020,49.57
BELAGAVI CITY,BELAGAVI CITY WOMEN PS,2021,54.08
BELAGAVI CITY,BELAGAVI CITY WOMEN PS,2022,58.59
BELAGAVI CITY,BELAGAVI CITY WOMEN PS,2023,63.09
BELAGAVI CITY,BELAGAVI CITY WOMEN PS,2024,67.6
BELAGAVI CITY,CAMP PS,2019,48.27
BELAGAVI CITY,CAMP PS,2020,53.09
BELAGAVI CITY,CAMP PS,2021,57.92
BELAGAVI CITY,CAMP PS,2022,62.75
BELAGAVI CITY,CAMP PS,2023,67.57
BELAGAVI CITY,CAMP PS,2024,72.4
BELAGAVI CITY,TILAKWADI PS,2017,53.14
BELAGAVI CITY,TILAKWADI PS,2018,56.94
BELAGAVI CITY,TILAKWADI PS,2019,60.73
BELAGAVI CITY,TILAKWADI PS,2020,64.53
BELAGAVI CITY,TILAKWADI PS,2021,68.33
BELAGAVI CITY,TILAKWADI PS,2022,72.12
BELAGAVI CITY,TILAKWADI PS,2023,75.92
BELAGAVI CITY,TILAKWADI PS,2024,79.71
BELAGAVI CITY,BELGAUM SOUTH TRAFFIC PS,2018,56.57
BELAGAVI CITY,BELGAUM SOUTH TRAFFIC PS,2019,61.29
BELAGAVI CITY,BELGAUM SOUTH TRAFFIC PS,2020,66.0
BELAGAVI CITY,BELGAUM SOUTH TRAFFIC PS,2021,70.71
BELAGAVI CITY,BELGAUM SOUTH TRAFFIC PS,2022,75.43
BELAGAVI CITY,BELGAUM SOUTH TRAFFIC PS,2023,80.14
BELAGAVI CITY,BELGAUM SOUTH TRAFFIC PS,2024,84.86
BELAGAVI CITY,SHAHAPURA PS,2019,59.73
BELAGAVI CITY,SHAHAPURA PS,2020,65.71
BELAGAVI CITY,SHAHAPURA PS,2021,71.68
BELAGAVI CITY,SHAHAPURA PS,2022,77.65
BELAGAVI CITY,SHAHAPURA PS,2023,83.63
BELAGAVI CITY,SHAHAPURA PS,2024,89.6
BELAGAVI CITY,BAGEWADI PS,2018,63.66
BELAGAVI CITY,BAGEWADI PS,2019,68.96
BELAGAVI CITY,BAGEWADI PS,2020,74.27
BELAGAVI CITY,BAGEWADI PS,2021,79.57
BELAGAVI CITY,BAGEWADI PS,2022,84.88
BELAGAVI CITY,BAGEWADI PS,2023,90.18
BELAGAVI CITY,BAGEWADI PS,2024,95.49
BELAGAVI CITY,BELGAUM NORTH TRAFFIC PS,2018,65.94
BELAGAVI CITY,BELGAUM NORTH TRAFFIC PS,2019,71.44
BELAGAVI CITY,BELGAUM NORTH TRAFFIC PS,2020,76.93
BELAGAVI CITY,BELGAUM NORTH TRAFFIC PS,2021,82.43
BELAGAVI CITY,BELGAUM NORTH TRAFFIC PS,2022,87.92
BELAGAVI CITY,BELGAUM NORTH TRAFFIC PS,2023,93.42
BELAGAVI CITY,BELGAUM NORTH TRAFFIC PS,2024,98.91
BELAGAVI CITY,MALAMARUTHI PS,2019,82.0
BELAGAVI CITY,MALAMARUTHI PS,2020,90.2
BELAGAVI CITY,MALAMARUTHI PS,2021,98.4
BELAGAVI CITY,MALAMARUTHI PS,2022,106.6
BELAGAVI CITY,MALAMARUTHI PS,2023,114.8
BELAGAVI CITY,MALAMARUTHI PS,2024,123.0
BELAGAVI CITY,MARIHAL PS,2019,83.2
BELAGAVI CITY,MARIHAL PS,2020,91.52
BELAGAVI CITY,MARIHAL PS,2021,99.84
BELAGAVI CITY,MARIHAL PS,2022,108.16
BELAGAVI CITY,MARIHAL PS,2023,116.48
BELAGAVI CITY,MARIHAL PS,2024,124.8
BELAGAVI CITY,APMC YARD PS,2019,86.93
BELAGAVI CITY,APMC YARD PS,2020,95.63
BELAGAVI CITY,APMC YARD PS,2021,104.32
BELAGAVI CITY,APMC YARD PS,2022,113.01
BELAGAVI CITY,APMC YARD PS,2023,121.71
BELAGAVI CITY,APMC YARD PS,2024,130.4
BELAGAVI CITY,MARKET PS,2019,107.87
BELAGAVI CITY,MARKET PS,2020,118.65
BELAGAVI CITY,MARKET PS,2021,129.44
BELAGAVI CITY,MARKET PS,2022,140.23
BELAGAVI CITY,MARKET PS,2023,151.01
BELAGAVI CITY,MARKET PS,2024,161.8
BELAGAVI CITY,BELAGAVI RURAL PS,2019,110.4
BELAGAVI CITY,BELAGAVI RURAL PS,2020,121.44
BELAGAVI CITY,BELAGAVI RURAL PS,2021,132.48
BELAGAVI CITY,BELAGAVI RURAL PS,2022,143.52
BELAGAVI CITY,BELAGAVI RURAL PS,2023,154.56
BELAGAVI CITY,BELAGAVI RURAL PS,2024,165.6
BELAGAVI CITY,KAKATI PS,2019,123.47
BELAGAVI CITY,KAKATI PS,2020,135.81
BELAGAVI CITY,KAKATI PS,2021,148.16
BELAGAVI CITY,KAKATI PS,2022,160.51
BELAGAVI CITY,KAKATI PS,2023,172.85
BELAGAVI CITY,KAKATI PS,2024,185.2
BELAGAVI DIST,BELAGAVI WOMEN PS,2022,3.2
BELAGAVI DIST,BELAGAVI WOMEN PS,2023,4.0
BELAGAVI DIST,BELAGAVI WOMEN PS,2024,4.8
BELAGAVI DIST,BELAGAVI CEN CRIME PS,2019,18.53
BELAGAVI DIST,BELAGAVI CEN CRIME PS,2020,20.39
BELAGAVI DIST,BELAGAVI CEN CRIME PS,2021,22.24
BELAGAVI DIST,BELAGAVI CEN CRIME PS,2022,24.09
BELAGAVI DIST,BELAGAVI CEN CRIME PS,2023,25.95
BELAGAVI DIST,BELAGAVI CEN CRIME PS,2024,27.8
BELAGAVI DIST,BASAWESHWAR CHOWK PS,2019,35.47
BELAGAVI DIST,BASAWESHWAR CHOWK PS,2020,39.01
BELAGAVI DIST,BASAWESHWAR CHOWK PS,2021,42.56
BELAGAVI DIST,BASAWESHWAR CHOWK PS,2022,46.11
BELAGAVI DIST,BASAWESHWAR CHOWK PS,2023,49.65
BELAGAVI DIST,BASAWESHWAR CHOWK PS,2024,53.2
BELAGAVI DIST,CHIKKODI TOWN TRAFFIC PS,2019,37.47
BELAGAVI DIST,CHIKKODI TOWN TRAFFIC PS,2020,41.21
BELAGAVI DIST,CHIKKODI TOWN TRAFFIC PS,2021,44.96
BELAGAVI DIST,CHIKKODI TOWN TRAFFIC PS,2022,48.71
BELAGAVI DIST,CHIKKODI TOWN TRAFFIC PS,2023,52.45
BELAGAVI DIST,CHIKKODI TOWN TRAFFIC PS,2024,56.2
BELAGAVI DIST,ANKALGI PS,2019,43.2
BELAGAVI DIST,ANKALGI PS,2020,47.52
BELAGAVI DIST,ANKALGI PS,2021,51.84
BELAGAVI DIST,ANKALGI PS,2022,56.16
BELAGAVI DIST,ANKALGI PS,2023,60.48
BELAGAVI DIST,ANKALGI PS,2024,64.8
BELAGAVI DIST,KHADAKALAT PS,2019,43.2
BELAGAVI DIST,KHADAKALAT PS,2020,47.52
BELAGAVI DIST,KHADAKALAT PS,2021,51.84
BELAGAVI DIST,KHADAKALAT PS,2022,56.16
BELAGAVI DIST,KHADAKALAT PS,2023,60.48
BELAGAVI DIST,KHADAKALAT PS,2024,64.8
BELAGAVI DIST,ANKALI PS,2019,54.93
BELAGAVI DIST,ANKALI PS,2020,60.43
BELAGAVI DIST,ANKALI PS,2021,65.92
BELAGAVI DIST,ANKALI PS,2022,71.41
BELAGAVI DIST,ANKALI PS,2023,76.91
BELAGAVI DIST,ANKALI PS,2024,82.4
BELAGAVI DIST,DODDAWAD PS,2019,55.73
BELAGAVI DIST,DODDAWAD PS,2020,61.31
BELAGAVI DIST,DODDAWAD PS,2021,66.88
BELAGAVI DIST,DODDAWAD PS,2022,72.45
BELAGAVI DIST,DODDAWAD PS,2023,78.03
BELAGAVI DIST,DODDAWAD PS,2024,83.6
BELAGAVI DIST,NESARGI PS,2019,57.33
BELAGAVI DIST,NESARGI PS,2020,63.07
BELAGAVI DIST,NESARGI PS,2021,68.8
BELAGAVI DIST,NESARGI PS,2022,74.53
BELAGAVI DIST,NESARGI PS,2023,80.27
BELAGAVI DIST,NESARGI PS,2024,86.0
BELAGAVI DIST,NIPPANI RURAL PS,2019,59.6
BELAGAVI DIST,NIPPANI RURAL PS,2020,65.56
BELAGAVI DIST,NIPPANI RURAL PS,2021,71.52
BELAGAVI DIST,NIPPANI RURAL PS,2022,77.48
BELAGAVI DIST,NIPPANI RURAL PS,2023,83.44
BELAGAVI DIST,NIPPANI RURAL PS,2024,89.4
BELAGAVI DIST,NIPPANI TOWN PS,2019,63.07
BELAGAVI DIST,NIPPANI TOWN PS,2020,69.37
BELAGAVI DIST,NIPPANI TOWN PS,2021,75.68
BELAGAVI DIST,NIPPANI TOWN PS,2022,81.99
BELAGAVI DIST,NIPPANI TOWN PS,2023,88.29
BELAGAVI DIST,NIPPANI TOWN PS,2024,94.6
BELAGAVI DIST,GOKAK TOWN PS,2018,77.14
BELAGAVI DIST,GOKAK TOWN PS,2019,83.57
BELAGAVI DIST,GOKAK TOWN PS,2020,90.0
BELAGAVI DIST,GOKAK TOWN PS,2021,96.43
BELAGAVI DIST,GOKAK TOWN PS,2022,102.86
BELAGAVI DIST,GOKAK TOWN PS,2023,109.29
BELAGAVI DIST,GOKAK TOWN PS,2024,115.71
BELAGAVI DIST,KUDACHI PS,2019,84.8
BELAGAVI DIST,KUDACHI PS,2020,93.28
BELAGAVI DIST,KUDACHI PS,2021,101.76
BELAGAVI DIST,KUDACHI PS,2022,110.24
BELAGAVI DIST,KUDACHI PS,2023,118.72
BELAGAVI DIST,KUDACHI PS,2024,127.2
BELAGAVI DIST,KULGOD PS,2019,89.47
BELAGAVI DIST,KULGOD PS,2020,98.41
BELAGAVI DIST,KULGOD PS,2021,107.36
BELAGAVI DIST,KULGOD PS,2022,116.31
BELAGAVI DIST,KULGOD PS,2023,125.25
BELAGAVI DIST,KULGOD PS,2024,134.2
BELAGAVI DIST,NANDAGAD PS,2019,92.0
BELAGAVI DIST,NANDAGAD PS,2020,101.2
BELAGAVI DIST,NANDAGAD PS,2021,110.4
BELAGAVI DIST,NANDAGAD PS,2022,119.6
BELAGAVI DIST,NANDAGAD PS,2023,128.8
BELAGAVI DIST,NANDAGAD PS,2024,138.0
BELAGAVI DIST,SADALAGA PS,2019,92.53
BELAGAVI DIST,SADALAGA PS,2020,101.79
BELAGAVI DIST,SADALAGA PS,2021,111.04
BELAGAVI DIST,SADALAGA PS,2022,120.29
BELAGAVI DIST,SADALAGA PS,2023,129.55
BELAGAVI DIST,SADALAGA PS,2024,138.8
BELAGAVI DIST,AIGALI PS,2019,94.0
BELAGAVI DIST,AIGALI PS,2020,103.4
BELAGAVI DIST,AIGALI PS,2021,112.8
BELAGAVI DIST,AIGALI PS,2022,122.2
BELAGAVI DIST,AIGALI PS,2023,131.6
BELAGAVI DIST,AIGALI PS,2024,141.0
BELAGAVI DIST,MUDALGI PS,2019,96.8
BELAGAVI DIST,MUDALGI PS,2020,106.48
BELAGAVI DIST,MUDALGI PS,2021,116.16
BELAGAVI DIST,MUDALGI PS,2022,125.84
BELAGAVI DIST,MUDALGI PS,2023,135.52
BELAGAVI DIST,MUDALGI PS,2024,145.2
BELAGAVI DIST,KAGWAD PS,2018,97.14
BELAGAVI DIST,KAGWAD PS,2019,105.24
BELAGAVI DIST,KAGWAD PS,2020,113.33
BELAGAVI DIST,KAGWAD PS,2021,121.43
BELAGAVI DIST,KAGWAD PS,2022,129.52
BELAGAVI DIST,KAGWAD PS,2023,137.62
BELAGAVI DIST,KAGWAD PS,2024,145.71
BELAGAVI DIST,HUKKERI PS,2019,104.4
BELAGAVI DIST,HUKKERI PS,2020,114.84
BELAGAVI DIST,HUKKERI PS,2021,125.28
BELAGAVI DIST,HUKKERI PS,2022,135.72
BELAGAVI DIST,HUKKERI PS,2023,146.16
BELAGAVI DIST,HUKKERI PS,2024,156.6
BELAGAVI DIST,KATKOL PS,2019,107.47
BELAGAVI DIST,KATKOL PS,2020,118.21
BELAGAVI DIST,KATKOL PS,2021,128.96
BELAGAVI DIST,KATKOL PS,2022,139.71
BELAGAVI DIST,KATKOL PS,2023,150.45
BELAGAVI DIST,KATKOL PS,2024,161.2
BELAGAVI DIST,KITTUR PS,2019,109.47
BELAGAVI DIST,KITTUR PS,2020,120.41
BELAGAVI DIST,KITTUR PS,2021,131.36
BELAGAVI DIST,KITTUR PS,2022,142.31
BELAGAVI DIST,KITTUR PS,2023,153.25
BELAGAVI DIST,KITTUR PS,2024,164.2
BELAGAVI DIST,RAMADURGA PS,2019,109.47
BELAGAVI DIST,RAMADURGA PS,2020,120.41
BELAGAVI DIST,RAMADURGA PS,2021,131.36
BELAGAVI DIST,RAMADURGA PS,2022,142.31
BELAGAVI DIST,RAMADURGA PS,2023,153.25
BELAGAVI DIST,RAMADURGA PS,2024,164.2
BELAGAVI DIST,GOKAK RURAL PS,2019,113.33
BELAGAVI DIST,GOKAK RURAL PS,2020,124.67
BELAGAVI DIST,GOKAK RURAL PS,2021,136.0
BELAGAVI DIST,GOKAK RURAL PS,2022,147.33
BELAGAVI DIST,GOKAK RURAL PS,2023,158.67
BELAGAVI DIST,GOKAK RURAL PS,2024,170.0
BELAGAVI DIST,HARUGERI PS,2019,117.73
BELAGAVI DIST,HARUGERI PS,2020,129.51
BELAGAVI DIST,HARUGERI PS,2021,141.28
BELAGAVI DIST,HARUGERI PS,2022,153.05
BELAGAVI DIST,HARUGERI PS,2023,164.83
BELAGAVI DIST,HARUGERI PS,2024,176.6
BELAGAVI DIST,MURGOD PS,2017,131.9
BELAGAVI DIST,MURGOD PS,2018,141.32
BELAGAVI DIST,MURGOD PS,2019,150.74
BELAGAVI DIST,MURGOD PS,2020,160.16
BELAGAVI DIST,MURGOD PS,2021,169.59
BELAGAVI DIST,MURGOD PS,2022,179.01
