District_Name,UnitName,FIRST_YEAR,LAST_YEAR,YEARS_RECORDED,TOTAL_FIRs,HEINOUS_FIRs,NON_HEINOUS_FIRs,HEINOUS_RATIO,FIRs_PER_YEAR,CRIME_VOLUME_SCALED,RISK_SCORE_NORM,SAFETY_INDEX,Latitude_mean,Longitude_mean,RISK_LEVEL
BAGALKOT,AMENGAD PS,2019,2024,6,972,542,430,1,90.33,0.205566513,0.205566513,79.44,16.04492472,75.89585676,MEDIUM
BAGALKOT,BILAGI PS,2019,2024,6,1007,575,432,1,95.83,0.218222661,0.218222661,78.18,16.34809253,75.56619914,MEDIUM
BAGALKOT,BADAMI PS,2019,2024,6,1106,629,477,1,104.83,0.23893272,0.23893272,76.11,15.90913669,75.64270688,MEDIUM
BAGALKOT,BAGALKOT RURAL PS,2019,2024,6,1203,666,537,1,111,0.253122945,0.253122945,74.69,16.2025967,75.80148581,MEDIUM
BAGALKOT,MUDHOL PS,2019,2024,6,1994,1119,875,1,186.5,0.426857331,0.426857331,57.31,16.33733432,75.28325172,HIGH
BALLARI,GADIGANUR PS,2020,2021,2,14,8,6,1,4,0.006903353,0.006903353,99.31,15.17599888,76.59858874,LOW
BALLARI,BALLARI CEN CRIME PS,2019,2024,5,106,53,53,1,10.6,0.02209073,0.02209073,97.79,15.12536151,76.68897855,LOW
BALLARI,P.D. HALLI PS,2020,2024,4,128,69,59,1,17.25,0.037393162,0.037393162,96.26,15.13859533,77.07900461,LOW
BALLARI,GANDHINAGAR PS,2017,2024,5,190,96,94,1,19.2,0.041880342,0.041880342,95.81,15.1565629,76.91364665,LOW
BALLARI,HATCHOLLI PS,2021,2024,3,123,63,60,1,21,0.046022354,0.046022354,95.4,15.75699425,76.98759764,LOW
BALLARI,BELLARY TRAFFIC PS,2020,2024,4,161,92,69,1,23,0.050624589,0.050624589,94.94,15.32785967,76.73718151,LOW
BALLARI,COWLBAZAR PS,2018,2024,7,325,167,158,1,23.86,0.052596976,0.052596976,94.74,15.15636929,76.84078894,LOW
BALLARI,BALLARI WOMEN PS,2019,2024,5,223,121,102,1,24.2,0.05338593,0.05338593,94.66,15.15541765,76.91526662,LOW
BALLARI,CHORANURU PS,2022,2024,3,141,74,67,1,24.67,0.054459785,0.054459785,94.55,14.95818624,76.5177285,LOW
BALLARI,SANDUR PS,2019,2024,4,181,100,81,1,25,0.055226824,0.055226824,94.48,15.07785142,76.51879304,LOW
BALLARI,THORANAGAL PS,2017,2024,5,252,134,118,1,26.8,0.059368836,0.059368836,94.06,15.18994566,76.6618623,LOW
BALLARI,KUDUTHINI PS,2020,2024,4,214,112,102,1,28,0.062130178,0.062130178,93.79,15.2201744,76.73217042,LOW
BALLARI,TEKKALKOTA PS,2021,2024,3,183,98,85,1,32.67,0.072868727,0.072868727,92.71,15.52330015,76.66869682,LOW
BALLARI,APMC YARD PS,2023,2024,2,132,67,65,1,33.5,0.074786325,0.074786325,92.52,15.09801828,76.92261684,LOW
BALLARI,KURUGOD PS,2019,2024,6,374,204,170,1,34,0.075936884,0.075936884,92.41,15.33064451,76.83207995,LOW
BALLARI,KAMPLI PS,2020,2024,4,288,156,132,1,39,0.087442472,0.087442472,91.26,15.38435658,76.6039462,LOW
BALLARI,SIRIGERI PS,2019,2024,6,606,316,290,1,52.67,0.11889108,0.11889108,88.11,15.44098137,76.89156602,LOW
BALLARI,SIRUGUPPA PS,2021,2024,4,427,227,200,1,56.75,0.128287311,0.128287311,87.17,15.62324718,76.90375363,LOW
BALLARI,BRUCEPET PS,2020,2024,3,352,179,173,1,59.67,0.134998904,0.134998904,86.5,15.14246346,76.91332981,MEDIUM
BALLARI,MOKA PS,2019,2024,5,617,320,297,1,64,0.144970414,0.144970414,85.5,15.27490646,77.04484375,MEDIUM
BALLARI,BELLARY RURAL PS,2020,2024,4,543,293,250,1,73.25,0.166255753,0.166255753,83.37,15.13708912,76.87720353,MEDIUM
BELAGAVI CITY,BELAGAVI CITY CEN CRIME PS,2018,2024,7,552,276,276,1,39.43,0.088428665,0.088428665,91.16,15.86372996,74.51927559,LOW
BELAGAVI CITY,KHADEBAZAR PS,2017,2024,7,626,325,301,1,46.43,0.104536489,0.104536489,89.55,15.85870302,74.51174969,LOW
BELAGAVI CITY,UDYAMBAG PS,2019,2024,6,553,289,264,1,48.17,0.108536051,0.108536051,89.15,15.81607168,74.49258849,LOW
BELAGAVI CITY,BELAGAVI CITY WOMEN PS,2019,2024,6,648,338,310,1,56.33,0.127328512,0.127328512,87.27,15.86134486,74.5191321,LOW
BELAGAVI CITY,CAMP PS,2019,2024,6,674,362,312,1,60.33,0.136532983,0.136532983,86.35,15.86149335,74.49347614,MEDIUM
BELAGAVI CITY,TILAKWADI PS,2017,2024,7,888,465,423,1,66.43,0.150558843,0.150558843,84.94,15.82425111,74.51248158,MEDIUM
BELAGAVI CITY,BELGAUM SOUTH TRAFFIC PS,2018,2024,7,893,495,398,1,70.71,0.160420776,0.160420776,83.96,15.84342482,74.5056336,MEDIUM
BELAGAVI CITY,SHAHAPURA PS,2019,2024,6,843,448,395,1,74.67,0.16951567,0.16951567,83.05,15.83001285,74.51455062,MEDIUM
BELAGAVI CITY,BAGEWADI PS,2018,2024,7,994,557,437,1,79.57,0.180802104,0.180802104,81.92,15.73302373,74.57393531,MEDIUM
BELAGAVI CITY,BELGAUM NORTH TRAFFIC PS,2018,2024,7,1011,577,434,1,82.43,0.187376726,0.187376726,81.26,15.87320936,74.52646999,MEDIUM
BELAGAVI CITY,MALAMARUTHI PS,2019,2024,6,1124,615,509,1,102.5,0.233563445,0.233563445,76.64,15.86991467,74.54134857,MEDIUM
BELAGAVI CITY,MARIHAL PS,2019,2024,6,1133,624,509,1,104,0.237015122,0.237015122,76.3,15.89200668,74.6224274,MEDIUM
BELAGAVI CITY,APMC YARD PS,2019,2024,6,1212,652,560,1,108.67,0.247753671,0.247753671,75.22,15.88320619,74.50886937,MEDIUM
BELAGAVI CITY,MARKET PS,2019,2024,6,1559,809,750,1,134.83,0.30796625,0.30796625,69.2,15.85785202,74.51860117,HIGH
BELAGAVI CITY,BELAGAVI RURAL PS,2019,2024,6,1527,828,699,1,138,0.315253123,0.315253123,68.47,15.79757615,74.46689,HIGH
BELAGAVI CITY,KAKATI PS,2019,2024,6,1699,926,773,1,154.33,0.352838045,0.352838045,64.72,15.94623113,74.49219067,HIGH
BELAGAVI DIST,BELAGAVI WOMEN PS,2022,2024,3,15,12,3,1,4,0.006903353,0.006903353,99.31,15.66896842,75.14479592,LOW
BELAGAVI DIST,BELAGAVI CEN CRIME PS,2019,2024,6,278,139,139,1,23.17,0.051008109,0.051008109,94.9,16.11543278,74.78697428,LOW
BELAGAVI DIST,BASAWESHWAR CHOWK PS,2019,2024,6,489,266,223,1,44.33,0.0997151,0.0997151,90.03,16.42499443,74.38177511,LOW
BELAGAVI DIST,CHIKKODI TOWN TRAFFIC PS,2019,2024,6,486,281,205,1,46.83,0.105467894,0.105467894,89.45,16.4220302,74.58750606,LOW
BELAGAVI DIST,ANKALGI PS,2019,2024,6,595,324,271,1,54,0.121959237,0.121959237,87.8,16.03025063,74.70056482,LOW
BELAGAVI DIST,KHADAKALAT PS,2019,2024,6,588,324,264,1,54,0.121959237,0.121959237,87.8,16.42203742,74.4745456,LOW
BELAGAVI DIST,ANKALI PS,2019,2024,6,744,412,332,1,68.67,0.155708963,0.155708963,84.43,16.53781679,74.66981097,MEDIUM
BELAGAVI DIST,DODDAWAD PS,2019,2024,6,773,418,355,1,69.67,0.158010081,0.158010081,84.2,15.68901204,74.91449552,MEDIUM
BELAGAVI DIST,NESARGI PS,2019,2024,6,785,430,355,1,71.67,0.162612316,0.162612316,83.74,15.90302862,74.76614663,MEDIUM
BELAGAVI DIST,NIPPANI RURAL PS,2019,2024,6,804,447,357,1,74.5,0.16913215,0.16913215,83.09,16.46676383,74.34226501,MEDIUM
BELAGAVI DIST,NIPPANI TOWN PS,2019,2024,6,850,473,377,1,78.83,0.17910366,0.17910366,82.09,16.39258895,74.38048262,MEDIUM
BELAGAVI DIST,GOKAK TOWN PS,2018,2024,7,1262,675,587,1,96.43,0.219592373,0.219592373,78.04,16.162058,74.82026743,MEDIUM
BELAGAVI DIST,KUDACHI PS,2019,2024,6,1216,636,580,1,106,0.241617357,0.241617357,75.84,16.58838414,74.85790069,MEDIUM
BELAGAVI DIST,KULGOD PS,2019,2024,6,1250,671,579,1,111.83,0.255040544,0.255040544,74.5,16.22304655,75.04942728,MEDIUM
BELAGAVI DIST,NANDAGAD PS,2019,2024,6,1277,690,587,1,115,0.262327416,0.262327416,73.77,15.57078747,74.64131182,MEDIUM
BELAGAVI DIST,SADALAGA PS,2019,2024,6,1265,694,571,1,115.67,0.263861495,0.263861495,73.61,16.52845402,74.47882596,MEDIUM
BELAGAVI DIST,AIGALI PS,2019,2024,6,1294,705,589,1,117.5,0.26808021,0.26808021,73.19,16.76751357,75.24668078,MEDIUM
BELAGAVI DIST,MUDALGI PS,2019,2024,6,1371,726,645,1,121,0.276134122,0.276134122,72.39,16.32660107,74.95703528,MEDIUM
BELAGAVI DIST,KAGWAD PS,2018,2024,7,1508,850,658,1,121.43,0.277120316,0.277120316,72.29,16.68136288,74.81776158,MEDIUM
BELAGAVI DIST,HUKKERI PS,2019,2024,6,1420,783,637,1,130.5,0.29799474,0.29799474,70.2,16.24927034,74.63318046,HIGH
BELAGAVI DIST,KATKOL PS,2019,2024,6,1491,806,685,1,134.33,0.306815691,0.306815691,69.32,15.992072,75.19594849,HIGH
BELAGAVI DIST,KITTUR PS,2019,2024,6,1478,821,657,1,136.83,0.312568486,0.312568486,68.74,15.63184569,74.7673656,HIGH
BELAGAVI DIST,RAMADURGA PS,2019,2024,6,1495,821,674,1,136.83,0.312568486,0.312568486,68.74,15.94459082,75.34065186,HIGH
BELAGAVI DIST,GOKAK RURAL PS,2019,2024,6,1566,850,716,1,141.67,0.323690554,0.323690554,67.63,16.1077279,74.81534101,HIGH
BELAGAVI DIST,HARUGERI PS,2019,2024,6,1575,883,692,1,147.17,0.336346702,0.336346702,66.37,16.47999368,74.93383493,HIGH
BELAGAVI DIST,MURGOD PS,2017,2024,8,2423,1319,1104,1,164.88,0.377095661,0.377095661,62.29,15.88599069,74.97211818,HIGH
BELAGAVI DIST,KHANAPUR PS,2019,2024,6,1859,1018,841,1,169.67,0.38812185,0.38812185,61.19,15.64030661,74.47761795,HIGH
BELAGAVI DIST,CHIKKODI PS,2019,2024,6,1905,1034,871,1,172.33,0.394258163,0.394258163,60.57,16.38629422,74.62844993,HIGH
BELAGAVI DIST,SANKESHWAR PS,2019,2024,6,1872,1036,836,1,172.67,0.395025203,0.395025203,60.5,16.25927921,74.45458273,HIGH
BELAGAVI DIST,YAMAKANMARDI PS,2019,2024,6,1904,1051,853,1,175.17,0.400777997,0.400777997,59.92,16.122704,74.56529244,HIGH
BELAGAVI DIST,GHATAPRABHA PS,2019,2024,6,2142,1157,985,1,192.83,0.441431076,0.441431076,55.86,16.24629546,74.81351784,HIGH
BELAGAVI DIST,RAIBAG PS,2019,2024,6,2184,1199,985,1,199.83,0.4575389,0.4575389,54.25,16.45104349,74.79191675,HIGH
BELAGAVI DIST,BAILAHONGAL PS,2019,2024,6,2436,1314,1122,1,219,0.501643655,0.501643655,49.84,15.78694669,74.81956305,HIGH
BELAGAVI DIST,ATHANI PS,2017,2024,7,3321,1841,1480,1,263,0.602892834,0.602892834,39.71,16.72841839,75.04877636,CRITICAL
BELAGAVI DIST,SOUNDATTI PS,2019,2024,6,2962,1621,1341,1,270.17,0.619384177,0.619384177,38.06,15.78510334,75.1290733,CRITICAL
BENGALURU CITY,WEST WOMEN PS,2024,2024,1,6,3,3,1,3,0.004602235,0.004602235,99.54,12.667514,77.53574867,LOW
BENGALURU CITY,CYBER CRIME POLICE STATION,2019,2024,4,70,35,35,1,8.75,0.017833662,0.017833662,98.22,12.92889403,77.57644594,LOW
BENGALURU CITY,HULIMAVU TRAFFIC PS,2016,2024,9,177,98,79,1,10.89,0.022755497,0.022755497,97.72,12.87175772,77.61082787,LOW
BENGALURU CITY,CUBBONPARK TRAFFIC PS,2019,2024,5,140,71,69,1,14.2,0.030374753,0.030374753,96.96,12.97523873,77.59688232,LOW
BENGALURU CITY,CHICKABANAVARA TRAFFIC PS,2024,2024,1,30,16,14,1,16,0.034516765,0.034516765,96.55,13.11699181,77.5024455,LOW
BENGALURU CITY,HIGH GROUNDS TRAFFIC PS,2016,2024,9,293,151,142,1,16.78,0.036306523,0.036306523,96.37,12.98193069,77.57936329,LOW
BENGALURU CITY,JAYANAGAR TRAFFIC PS,2016,2024,8,255,136,119,1,17,0.036817883,0.036817883,96.32,12.91484072,77.56333436,LOW
BENGALURU CITY,WILSONGARDEN TRAFFIC PS,2016,2024,8,265,140,125,1,17.5,0.037968442,0.037968442,96.2,12.95192926,77.59546367,LOW
BENGALURU CITY,ADUGODI TRAFFIC PS,2016,2024,9,309,163,146,1,18.11,0.03937468,0.03937468,96.06,12.91036051,77.6012808,LOW
BENGALURU CITY,ASHOKNAGAR TRAFFIC PS,2016,2024,6,212,110,102,1,18.33,0.03988604,0.03988604,96.01,12.92907825,77.61409562,LOW
BENGALURU CITY,CHIKKAJALA TRAFFIC PS,2016,2024,6,195,111,84,1,18.5,0.04026956,0.04026956,95.97,13.12235332,77.46911319,LOW
BENGALURU CITY,SHIVAJINAGAR PS,2018,2024,7,255,130,125,1,18.57,0.040433925,0.040433925,95.96,12.98396894,77.60659348,LOW
BENGALURU CITY,BANASAWADI TRAFFIC PS,2016,2024,8,283,151,132,1,18.88,0.041132479,0.041132479,95.89,13.05426894,77.57182624,LOW
BENGALURU CITY,PULAKESHINAGAR TRAFFIC PS,2017,2024,8,287,154,133,1,19.25,0.041995398,0.041995398,95.8,12.99354578,77.53910613,LOW
BENGALURU CITY,BASAVANAGUDI WOMEN PS,2017,2024,6,270,137,133,1,22.83,0.050241069,0.050241069,94.98,12.89717189,77.54123891,LOW
BENGALURU CITY,PUTTENAHALLI PS,2017,2024,8,383,199,184,1,24.88,0.054939185,0.054939185,94.51,12.88470996,77.57493617,LOW
BENGALURU CITY,MICO LAYOUT TRAFFIC PS,2016,2024,8,390,207,183,1,25.88,0.057240302,0.057240302,94.28,12.91814194,77.60167689,LOW
BENGALURU CITY,MALLESHWARAM TRAFFIC PS,2018,2024,6,311,162,149,1,27,0.05982906,0.05982906,94.02,12.99259231,77.56363143,LOW
BENGALURU CITY,VICTORIA HOSPITAL PS,2016,2016,1,53,27,26,1,27,0.05982906,0.05982906,94.02,12.96216201,77.57353043,LOW
BENGALURU CITY,AIRPORT TRAFFIC PS,2016,2024,9,476,260,216,1,28.89,0.064175615,0.064175615,93.58,12.77580741,77.55344049,LOW
BENGALURU CITY,K G HALLI TRAFFIC PS,2017,2024,6,335,177,158,1,29.5,0.065581854,0.065581854,93.44,13.02518573,77.60415878,LOW
BENGALURU CITY,DEVANAHALLI PS,2017,2024,7,398,210,188,1,30,0.066732413,0.066732413,93.33,13.25552277,77.67305814,LOW
BENGALURU CITY,JEEVAN BHIMA NAGAR (INDIRANAGAR) TRAFFIC PS,2019,2024,5,286,150,136,1,30,0.066732413,0.066732413,93.33,12.93286302,77.66450721,LOW
BENGALURU CITY,JAYAPRAKASH NAGAR PS,2017,2024,8,453,241,212,1,30.12,0.067020053,0.067020053,93.3,12.92228026,77.56929544,LOW
BENGALURU CITY,SIDDAPURA PS,2016,2024,9,525,273,252,1,30.33,0.067499452,0.067499452,93.25,12.86704978,77.54938036,LOW
BENGALURU CITY,KAMAKSHIPALYA TRAFFIC PS,2017,2024,8,451,247,204,1,30.88,0.068745891,0.068745891,93.13,12.83659255,77.4637208,LOW
BENGALURU CITY,CHICKPET TRAFFIC PS,2017,2024,8,454,248,206,1,31,0.069033531,0.069033531,93.1,12.9643102,77.5654657,LOW
BENGALURU CITY,HALASUR GATE TRAFFIC PS,2016,2024,9,565,293,272,1,32.56,0.072613047,0.072613047,92.74,12.96486345,77.58536815,LOW
BENGALURU CITY,BHARATHI NAGAR PS,2016,2024,9,583,297,286,1,33,0.073635766,0.073635766,92.64,12.98905303,77.60570611,LOW
BENGALURU CITY,GANGAMMANA GUDI PS,2016,2024,8,516,265,251,1,33.12,0.073923406,0.073923406,92.61,13.0875871,77.51220769,LOW
BENGALURU CITY,THILAKNAGAR PS,2016,2024,7,464,238,226,1,34,0.075936884,0.075936884,92.41,12.91073594,77.57557961,LOW
BENGALURU CITY,THALAGHATTAPURA PS,2016,2024,8,544,289,255,1,36.12,0.080826759,0.080826759,91.92,12.79500211,77.52519862,LOW
BENGALURU CITY,KODIGEHALLI PS,2017,2024,8,564,293,271,1,36.62,0.081977318,0.081977318,91.8,13.06110431,77.57628589,LOW
BENGALURU CITY,EAST ZONE WOMEN PS,2016,2024,5,321,184,137,1,36.8,0.082380013,0.082380013,91.76,12.96024105,77.58860169,LOW
BENGALURU CITY,HENNUR TRAFFIC PS,2023,2024,2,133,75,58,1,37.5,0.083990796,0.083990796,91.6,13.05719873,77.63901956,LOW
BENGALURU CITY,SHANKARPURA PS,2016,2024,9,633,340,293,1,37.78,0.084629995,0.084629995,91.54,12.92159869,77.5568843,LOW
BENGALURU CITY,VIDHANA SOUDHA PS,2016,2024,7,522,269,253,1,38.43,0.086127548,0.086127548,91.39,12.98114042,77.59070363,LOW
BENGALURU CITY,BELLANDURU TRAFFIC PS,2023,2024,2,148,80,68,1,40,0.08974359,0.08974359,91.03,12.91572823,77.67425085,LOW
BENGALURU CITY,R.M.C. YARD PS,2016,2024,9,705,367,338,1,40.78,0.091533348,0.091533348,90.85,13.04958325,77.42403455,LOW
BENGALURU CITY,CHICKPET PS,2016,2016,1,82,42,40,1,42,0.094345825,0.094345825,90.57,12.96113009,77.57144105,LOW
BENGALURU CITY,MAHADEVAPURA TRAFFIC PS,2023,2024,2,161,84,77,1,42,0.094345825,0.094345825,90.57,12.99113026,77.69583107,LOW
BENGALURU CITY,SHIVAJINAGAR TRAFFIC PS,2016,2024,9,744,381,363,1,42.33,0.095112864,0.095112864,90.49,12.98307694,77.60354365,LOW
BENGALURU CITY,BIAL PS,2020,2024,5,425,216,209,1,43.2,0.097107166,0.097107166,90.29,13.19858712,77.67829152,LOW
BENGALURU CITY,S.J. PARK PS,2016,2024,9,766,389,377,1,43.22,0.097158302,0.097158302,90.28,12.95790379,77.58116766,LOW
BENGALURU CITY,BOMMANAHALLI PS,2016,2024,9,752,392,360,1,43.56,0.097925342,0.097925342,90.21,12.8955484,77.61080232,LOW
BENGALURU CITY,BAGALAGUNTE PS,2017,2024,8,627,350,277,1,43.75,0.098372781,0.098372781,90.16,13.18739529,77.38884463,LOW
BENGALURU CITY,MAGADI ROAD PS,2016,2024,8,679,354,325,1,44.25,0.09952334,0.09952334,90.05,12.83163103,77.53030185,LOW
BENGALURU CITY,BYAPPANAHALLI PS,2016,2024,7,643,332,311,1,47.43,0.106837607,0.106837607,89.32,12.98685254,77.64880369,LOW
BENGALURU CITY,MADIVALA TRAFFIC PS,2016,2024,6,528,288,240,1,48,0.108152531,0.108152531,89.18,12.90437416,77.61383112,LOW
BENGALURU CITY,HEBBAL TRAFFIC PS,2021,2024,4,347,193,154,1,48.25,0.108727811,0.108727811,89.13,13.06015062,77.59226847,LOW
BENGALURU CITY,INDIRANAGAR PS,2019,2024,4,367,193,174,1,48.25,0.108727811,0.108727811,89.13,12.94350807,77.6369788,LOW
BENGALURU CITY,KENGERI TRAFFIC PS,2016,2024,6,519,296,223,1,49.33,0.111220688,0.111220688,88.88,12.84262798,77.48347739,LOW
BENGALURU CITY,CITY MARKET TRAFFIC PS,2016,2024,7,702,360,342,1,51.43,0.116042078,0.116042078,88.4,12.95885872,77.58132817,LOW
BENGALURU CITY,VIJAYANAGAR TRAFFIC PS,2016,2024,6,594,309,285,1,51.5,0.116206443,0.116206443,88.38,12.97646528,77.53900272,LOW
BENGALURU CITY,UPPARPET PS,2016,2024,9,917,469,448,1,52.11,0.117612682,0.117612682,88.24,12.97129876,77.55984601,LOW
BENGALURU CITY,AMRUTHAHALLY PS,2017,2024,7,706,367,339,1,52.43,0.118343195,0.118343195,88.17,13.105722,77.50403387,LOW
BENGALURU CITY,SAMPANGIRAMANAGAR PS,2017,2024,8,810,421,389,1,52.62,0.118795201,0.118795201,88.12,12.94045659,77.57795567,LOW
BENGALURU CITY,WHITEFIELD TRAFFIC PS,2019,2024,6,572,320,252,1,53.33,0.120425159,0.120425159,87.96,12.96815366,77.74376922,LOW
BENGALURU CITY,MAHALAKSHMIPURAM PS,2016,2024,9,917,484,433,1,53.78,0.121447878,0.121447878,87.86,13.20624405,77.49418601,LOW
BENGALURU CITY,J.C. NAGAR PS,2016,2024,9,948,496,452,1,55.11,0.124516035,0.124516035,87.55,12.99852006,77.58277391,LOW
BENGALURU CITY,SRIRAMPURA PS,2017,2024,6,647,331,316,1,55.17,0.124643875,0.124643875,87.54,12.9872349,77.56486377,LOW
BENGALURU CITY,KEMPEGOWDA NAGAR PS,2016,2024,9,949,499,450,1,55.44,0.125283074,0.125283074,87.47,12.93962872,77.55774611,LOW
BENGALURU CITY,BASAVANAGUDI TRAFFIC PS,2016,2024,9,971,500,471,1,55.56,0.125538754,0.125538754,87.45,12.94042315,77.56571111,LOW
BENGALURU CITY,YELAHANKA PS,2017,2024,7,766,400,366,1,57.14,0.129191321,0.129191321,87.08,13.10502845,77.60122639,LOW
BENGALURU CITY,GOVINDAPURA PS,2021,2024,4,449,232,217,1,58,0.131163708,0.131163708,86.88,13.03060453,77.61044783,LOW
BENGALURU CITY,KADUGONDANA HALLI PS,2018,2024,5,572,295,277,1,59,0.133464826,0.133464826,86.65,13.01957106,77.60679646,MEDIUM
BENGALURU CITY,YESHWANTHAPURA PS,2016,2024,8,932,478,454,1,59.75,0.135190664,0.135190664,86.48,13.02553221,77.55092713,MEDIUM
BENGALURU CITY,PULAKESHINAGAR PS,2021,2024,4,467,244,223,1,61,0.138067061,0.138067061,86.19,12.99451974,77.5431593,MEDIUM
BENGALURU CITY,HSR LAYOUT PS,2019,2024,6,708,367,341,1,61.17,0.138450581,0.138450581,86.15,12.90470223,77.61988425,MEDIUM
BENGALURU CITY,KUMARASWAMY LAYOUT TRAFFIC PS,2016,2024,9,1023,577,446,1,64.11,0.145226094,0.145226094,85.48,12.87950596,77.55162978,MEDIUM
BENGALURU CITY,CUBBON PARK PS,2016,2024,9,1129,590,539,1,65.56,0.148549931,0.148549931,85.15,12.95675437,77.59312909,MEDIUM
BENGALURU CITY,BYATRARAYANAPURA TRAFFIC PS,2016,2024,8,989,531,458,1,66.38,0.150435569,0.150435569,84.96,12.94575756,77.53123865,MEDIUM
BENGALURU CITY,COMMERCIAL STREET PS,2017,2024,8,1048,542,506,1,67.75,0.153599606,0.153599606,84.64,12.98052322,77.60354334,MEDIUM
BENGALURU CITY,HSR LAY OUT TRAFFIC PS,2018,2024,7,870,475,395,1,67.86,0.153846154,0.153846154,84.62,12.91411016,77.6509727,MEDIUM
BENGALURU CITY,RAMAMURTHY NAGAR PS,2017,2024,7,912,475,437,1,67.86,0.153846154,0.153846154,84.62,13.01455369,77.5692721,MEDIUM
BENGALURU CITY,BANASHANKARI PS,2016,2024,9,1190,612,578,1,68,0.154174885,0.154174885,84.58,12.87283919,77.55396741,MEDIUM
BENGALURU CITY,YELAHANKA TRAFFIC PS,2019,2024,6,713,411,302,1,68.5,0.155325444,0.155325444,84.47,13.13951032,77.53167893,MEDIUM
BENGALURU CITY,HALASUR TRAFFIC PS,2016,2024,9,1177,627,550,1,69.67,0.158010081,0.158010081,84.2,12.96898275,77.63167031,MEDIUM
BENGALURU CITY,BEGURU PS,2017,2024,6,819,422,397,1,70.33,0.15954416,0.15954416,84.05,12.71547915,77.48409698,MEDIUM
BENGALURU CITY,JNANABHARATHI TRAFFIC PS,2024,2024,1,137,71,66,1,71,0.161078238,0.161078238,83.89,12.95849732,77.5004639,MEDIUM
BENGALURU CITY,BANASHANKARI TRAFFIC PS,2016,2024,9,1234,649,585,1,72.11,0.163635035,0.163635035,83.64,12.91763358,77.55060022,MEDIUM
BENGALURU CITY,WEST CEN CRIME PS,2020,2024,4,602,301,301,1,75.25,0.170857988,0.170857988,82.91,12.97942375,77.53673405,MEDIUM
BENGALURU CITY,SESHADRIPURAM PS,2016,2024,9,1321,679,642,1,75.44,0.171305428,0.171305428,82.87,12.98029772,77.57220397,MEDIUM
BENGALURU CITY,KUMARASWAMY LAYOUT PS,2016,2024,9,1300,684,616,1,76,0.172583826,0.172583826,82.74,12.91204069,77.55974935,MEDIUM
BENGALURU CITY,CHAMARAJPET PS,2016,2024,9,1308,688,620,1,76.44,0.173606545,0.173606545,82.64,12.94171626,77.55126992,MEDIUM
